date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:24:20	146/146	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Oct%202023%2023:24:20%20GMT	https://10th.bcdesign.cn/robots.txt		(from )
04:24:20	29458/29458	---MCZ	200	added ('OK')	text/html	etag:W/%2264eea754-7312%22	https://10th.bcdesign.cn/	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/index.html	(from )
04:24:22	16958/16958	---M--	200	added ('OK')	image/x-icon	etag:%2264eea762-423e%22	https://10th.bcdesign.cn/drae.a6431781.ico	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/drae.a6431781.ico	(from https://10th.bcdesign.cn/)
04:24:22	13231/13231	---MCZ	200	added ('OK')	text/css	etag:W/%2264eea75e-33af%22	https://10th.bcdesign.cn/home.2504a112.css	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/home.2504a112.css	(from https://10th.bcdesign.cn/)
04:24:24	29786/29786	---M-Z	200	added ('OK')	application/javascript	etag:3852eb4b821b3889427e4274165aa0d4	https://hm.baidu.com/hm.js?592ce5aeb6c858e10de98bbff37924f7	C:/My%20Web%20Sites/Test/hm.baidu.com/hm2750.js	(from https://10th.bcdesign.cn/)
04:24:24	361401/361401	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264eea757-583b9%22	https://10th.bcdesign.cn/home.f2efff35.js	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/home.f2efff35.js	(from https://10th.bcdesign.cn/)
04:24:24	208183/208183	---MCZ	200	added ('OK')	text/javascript	etag:W/%2232d37-ZSMPdNFuNLYLRj51RfdXTWzgHX8%22	https://platform-api.sharethis.com/js/sharethis.js	C:/My%20Web%20Sites/Test/platform-api.sharethis.com/js/sharethis.js	(from https://10th.bcdesign.cn/)
04:24:26	10166/10166	---M--	200	added ('OK')	application/octet-stream	etag:%2264eea758-27b6%22	https://10th.bcdesign.cn/metal.0a094e3c.wav	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/metal.0a094e3c.wav	(from https://10th.bcdesign.cn/)
04:24:26	1983/1983	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea751-7bf%22	https://10th.bcdesign.cn/closePointer.51110bda.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/closePointer.51110bda.svg	(from https://10th.bcdesign.cn/)
04:24:27	1735/1735	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea75e-6c7%22	https://10th.bcdesign.cn/dayA.88dec645.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/dayA.88dec645.svg	(from https://10th.bcdesign.cn/)
